cv_number,mod_date,pub_date,cvss,cwe_code,cwe_name,summary,base_score,base_severity
CVE-2024-0007,2024-02-15T06:23Z,2024-02-14T18:15Z,,,,,,
CVE-2024-0008,2024-02-15T06:23Z,2024-02-14T18:15Z,,,,,,
CVE-2024-0009,2024-02-15T06:23Z,2024-02-14T18:15Z,,,,,,
CVE-2024-0010,2024-02-15T06:23Z,2024-02-14T18:15Z,,,,,,
CVE-2024-0011,2024-02-15T06:23Z,2024-02-14T18:15Z,,,,,,
CVE-2024-0014,2024-02-16T13:37Z,2024-02-16T02:15Z,,,,,,
CVE-2024-0015,2024-02-16T19:26Z,2024-02-16T19:15Z,,,,,,
CVE-2024-0016,2024-02-16T21:39Z,2024-02-16T20:15Z,,,,,,
CVE-2024-0017,2024-02-16T21:39Z,2024-02-16T20:15Z,,,,,,
CVE-2024-0018,2024-02-16T21:39Z,2024-02-16T20:15Z,,,,,,
CVE-2024-0019,2024-02-16T21:39Z,2024-02-16T20:15Z,,,,,,
CVE-2024-0020,2024-02-16T21:39Z,2024-02-16T20:15Z,,,,,,
CVE-2024-0021,2024-02-16T21:39Z,2024-02-16T20:15Z,,,,,,
CVE-2024-0022,2024-05-08T13:15Z,2024-05-07T21:15Z,,,,,,
CVE-2024-0023,2024-02-16T21:39Z,2024-02-16T20:15Z,,,,,,
CVE-2024-0024,2024-05-08T13:15Z,2024-05-07T21:15Z,,,,,,
CVE-2024-0025,2024-05-08T13:15Z,2024-05-07T21:15Z,,,,,,
CVE-2024-0026,2024-05-08T13:15Z,2024-05-07T21:15Z,,,,,,
CVE-2024-0027,2024-05-08T13:15Z,2024-05-07T21:15Z,,,,,,
CVE-2024-0029,2024-02-16T13:37Z,2024-02-16T02:15Z,,,,,,
CVE-2024-0030,2024-02-16T13:37Z,2024-02-16T02:15Z,,,,,,
CVE-2024-0031,2024-02-16T13:37Z,2024-02-16T02:15Z,,,,,,
CVE-2024-0032,2024-02-16T13:37Z,2024-02-16T02:15Z,,,,,,
CVE-2024-0033,2024-02-16T13:37Z,2024-02-16T02:15Z,,,,,,
CVE-2024-0034,2024-02-16T13:37Z,2024-02-16T02:15Z,,,,,,
CVE-2024-0035,2024-02-16T13:37Z,2024-02-16T02:15Z,,,,,,
CVE-2024-0036,2024-02-16T13:37Z,2024-02-16T02:15Z,,,,,,
CVE-2024-0037,2024-02-16T13:37Z,2024-02-16T02:15Z,,,,,,
CVE-2024-0038,2024-02-16T13:37Z,2024-02-16T02:15Z,,,,,,
CVE-2024-0039,2024-03-12T12:40Z,2024-03-11T17:15Z,,,,,,
CVE-2024-0040,2024-02-16T13:37Z,2024-02-16T02:15Z,,,,,,
CVE-2024-0041,2024-02-16T13:37Z,2024-02-16T02:15Z,,,,,,
CVE-2024-0042,2024-05-08T13:15Z,2024-05-07T21:15Z,,,,,,
CVE-2024-0043,2024-05-08T13:15Z,2024-05-07T21:15Z,,,,,,
CVE-2024-0044,2024-03-12T20:15Z,2024-03-11T17:15Z,,,,,,
CVE-2024-0045,2024-03-12T12:40Z,2024-03-11T17:15Z,,,,,,
CVE-2024-0046,2024-03-12T12:40Z,2024-03-11T17:15Z,,,,,,
CVE-2024-0047,2024-03-12T12:40Z,2024-03-11T17:15Z,,,,,,
CVE-2024-0048,2024-03-12T12:40Z,2024-03-11T17:15Z,,,,,,
CVE-2024-0049,2024-03-12T12:40Z,2024-03-11T17:15Z,,,,,,
CVE-2024-0050,2024-03-12T12:40Z,2024-03-11T17:15Z,,,,,,
CVE-2024-0051,2024-03-12T12:40Z,2024-03-11T17:15Z,,,,,,
CVE-2024-0052,2024-03-12T12:40Z,2024-03-11T17:15Z,,,,,,
CVE-2024-0053,2024-03-12T12:40Z,2024-03-11T17:15Z,,,,,,
CVE-2024-0054,2024-03-19T13:26Z,2024-03-19T07:15Z,,,,,,
CVE-2024-0055,2024-03-19T13:26Z,2024-03-19T07:15Z,,,,,,
CVE-2024-0056,2024-04-11T20:15Z,2024-01-09T18:15Z,,,,,8.7,HIGH
CVE-2024-0057,2024-04-11T20:15Z,2024-01-09T18:15Z,,,,,9.8,CRITICAL
CVE-2024-0068,2024-03-01T14:04Z,2024-02-29T20:15Z,,,,,,
CVE-2024-0069,2023-11-28T00:15Z,2023-11-28T00:15Z,,,,,,
CVE-2024-0070,2023-11-28T00:15Z,2023-11-28T00:15Z,,,,,,
CVE-2024-0071,2024-03-28T02:01Z,2024-03-27T22:15Z,,,,,,
CVE-2024-0072,2024-04-08T18:49Z,2024-04-05T18:15Z,,,,,,
CVE-2024-0073,2024-03-28T02:01Z,2024-03-27T22:15Z,,,,,,
CVE-2024-0074,2024-03-28T02:01Z,2024-03-27T22:15Z,,,,,,
CVE-2024-0075,2024-03-28T02:01Z,2024-03-27T22:15Z,,,,,,
CVE-2024-0076,2024-04-08T18:49Z,2024-04-05T18:15Z,,,,,,
CVE-2024-0077,2024-03-28T02:01Z,2024-03-27T22:15Z,,,,,,
CVE-2024-0078,2024-03-28T02:01Z,2024-03-27T22:15Z,,,,,,
