CVE,Severity
CVE-2024-24790,Critical
CVE-2023-29405,Critical
CVE-2023-29404,Critical
CVE-2023-29402,Critical
CVE-2023-24540,Critical
CVE-2023-24538,Critical
CVE-2023-45287,High
CVE-2023-45285,High
CVE-2023-45283,High
CVE-2023-44487,High
CVE-2023-39323,High
CVE-2023-29403,High
CVE-2023-29400,High
CVE-2023-24539,High
CVE-2023-24537,High
CVE-2023-24536,High
CVE-2023-24534,High
CVE-2022-41725,High
CVE-2022-41724,High
CVE-2022-41723,High
CVE-2022-41722,High
CVE-2022-41720,High
CVE-2022-41716,High
CVE-2022-41715,High
CVE-2022-32189,High
CVE-2022-30635,High
CVE-2022-30634,High
CVE-2022-30633,High
CVE-2022-30632,High
CVE-2022-30631,High
CVE-2022-30630,High
CVE-2022-30580,High
CVE-2022-29804,High
CVE-2022-2880,High
CVE-2022-2879,High
CVE-2022-28131,High
CVE-2022-27664,High
CVE-2024-24789,Medium
CVE-2024-24787,Medium
CVE-2023-45284,Medium
CVE-2023-39326,Medium
CVE-2023-39319,Medium
CVE-2023-39318,Medium
CVE-2023-29409,Medium
CVE-2023-29406,Medium
CVE-2023-24532,Medium
CVE-2022-41717,Medium
CVE-2022-32148,Medium
CVE-2022-29526,Medium
CVE-2022-1962,Medium
CVE-2022-1705,Medium
CVE-2022-30629,Low
CVE-2024-24791,Unknown
CVE-2024-24785,Unknown
CVE-2024-24784,Unknown
CVE-2024-24783,Unknown
CVE-2023-45290,Unknown
CVE-2023-45289,Unknown
CVE-2023-45288,Unknown
CVE-2023-24531,Unknown
